"n°UAI de l'établissement";"Libellé de l'établissement";"Région";"Dont apprentis en EPLE";;"Taux";"Taux attendu";"Valeur ajoutée";
"0560070X";"Lycée professionnel Emile Zola - Lycée des métiers de la communication visuelle";"BRETAGNE";"dont élèves en voie pro sco";58;35;36;-1;39
"0560070X";"Lycée professionnel Emile Zola - Lycée des métiers de la communication visuelle";"BRETAGNE";"dont apprentis";;;;;
"0560096A";"Lycée général et technologique prive Sainte jeanne d'Arc";"BRETAGNE";"ensemble";63;;;;
"0560105K";"Lycée polyvalent privé La Mennais - Lycée des métiers de l'électricité et des services à l'entreprise";"BRETAGNE";"ensemble";57;59;47;12;68
"0560117Y";"Lycée général et technologique privé Saint Paul";"BRETAGNE";"ensemble";31;55;57;-2;67
"0560119A";"Lycée polyvalent privé Sainte Anne-Saint Louis";"BRETAGNE";"ensemble";61;38;35;3;67
"0560180S";"Lycée polyvalent privé Notre Dame de la Paix";"BRETAGNE";"ensemble";43;51;49;2;58
"0560181T";"Lycée polyvalent privé Saint Joseph - La Salle - Lycée des métiers de l'énergie";"BRETAGNE";"ensemble";55;41;44;-3;50
"0560182U";"Lycée polyvalent Jeanne d'Arc-Saint Ivy - Lycée des métiers de l'hôtellerie et du tourisme";"BRETAGNE";"ensemble";53;50;51;-1;63
"0560197K";"Lycée professionnel privé Saint Michel";"BRETAGNE";"ensemble";66;47;38;9;49
"0560198L";"Lycée polyvalent privé Saint Joseph-La Salle - Lycée des métiers";"BRETAGNE";"ensemble";64;56;49;6;65
"0560199M";"Lycée professionnel privé Saint Georges";"BRETAGNE";"ensemble";68;38;41;-3;56
"0560200N";"Lycée polyvalent privé Notre Dame Le Ménimur - Lycée des métiers de la santé et du social";"BRETAGNE";"ensemble";46;29;40;-11;46
"0560217G";"Etablissement régional d'enseignement adapté Les Pins";"BRETAGNE";"ensemble";38;41;32;9;46
"0560217G";"Etablissement régional d'enseignement adapté Les Pins";"BRETAGNE";"dont élèves en voie pro sco";43;38;31;6;47
"0560217G";"Etablissement régional d'enseignement adapté Les Pins";"BRETAGNE";"dont apprentis";;;;;
"0561507J";"Lycée professionnel Louis Armand";"BRETAGNE";"ensemble";52;38;36;2;59
"0561534N";"Lycée général et technologique Benjamin Franklin";"BRETAGNE";"ensemble";32;54;58;-4;76
"0561607T";"Lycée général et technologique Victor Hugo";"BRETAGNE";"ensemble";28;55;56;-1;58
"0561627P";"Lycée général et technologique Charles de Gaulle";"BRETAGNE";"ensemble";27;63;55;8;71
"0561641E";"Lycée polyv. Marcellin Berthelot - Lycée des métiers des matériaux plastiques et composites et des outillages";"BRETAGNE";"ensemble";42;53;52;1;62
"0561698S";"Lycée polyvalent Jean Macé";"BRETAGNE";"ensemble";56;31;38;-7;38
"0570021N";"Lycée polyvalent Charles Hermite";"GRAND EST";"ensemble";33;43;44;-1;31
"0570023R";"Lycée général et technologique Antoine de Saint-Exupéry";"GRAND EST";"ensemble";33;30;42;-12;43
"0570030Y";"Lycée polyvalent  Blaise Pascal - Lycée des métiers";"GRAND EST";"ensemble";33;36;42;-6;43
"0570030Y";"Lycée polyvalent  Blaise Pascal - Lycée des métiers";"GRAND EST";"dont élèves en voie pro sco";34;33;37;-4;38
"0570030Y";"Lycée polyvalent  Blaise Pascal - Lycée des métiers";"GRAND EST";"dont apprentis";30;47;56;-9;56
"0570051W";"Lycée professionnel Pierre et Marie Curie";"GRAND EST";"ensemble";39;29;28;0;41
"0570057C";"Lycée général et technologique Robert Schuman";"GRAND EST";"ensemble";37;46;55;-9;51
"0570057C";"Lycée général et technologique Robert Schuman";"GRAND EST";"dont élèves en voie pro sco";39;42;53;-11;50
"0570057C";"Lycée général et technologique Robert Schuman";"GRAND EST";"dont apprentis";35;52;58;-6;53
"0570058D";"Lycée général et technologique Louis Vincent";"GRAND EST";"ensemble";45;57;52;4;53
"0570061G";"Lycée professionnel Alain Fournier - Lycée des métiers du sanitaire et du social";"GRAND EST";"ensemble";39;39;28;11;40
"0570061G";"Lycée professionnel Alain Fournier - Lycée des métiers du sanitaire et du social";"GRAND EST";"dont élèves en voie pro sco";40;40;28;12;41
"0570061G";"Lycée professionnel Alain Fournier - Lycée des métiers du sanitaire et du social";"GRAND EST";"dont apprentis";;;;;
"0570077Z";"Lycée professionnel Maryse Bastié";"GRAND EST";"ensemble";48;32;30;2;33
"0570085H";"Lycée polyvalent Jean-Victor Poncelet - Lycée des métiers du tertiaire";"GRAND EST";"ensemble";45;40;42;-2;43
"0570087K";"Lycée Charles Jully - Lycée des métiers et des technologies innovantes";"GRAND EST";"ensemble";52;34;38;-5;43
"0570094T";"Lycée polyvalent Mangin";"GRAND EST";"ensemble";44;36;48;-11;44
"0570095U";"Lycée professionnel Dominique Labroise";"GRAND EST";"ensemble";42;49;46;3;60
"0570095U";"Lycée professionnel Dominique Labroise";"GRAND EST";"dont élèves en voie pro sco";43;35;39;-4;48
"0570095U";"Lycée professionnel Dominique Labroise";"GRAND EST";"dont apprentis";40;65;55;10;73
"0570098X";"Lycée général et technologique Jean de Pange";"GRAND EST";"ensemble";42;51;56;-6;58
"0570099Y";"Lycée Henri Nominé - Lycée des métiers des services aux entreprises";"GRAND EST";"ensemble";45;46;49;-3;52
"0570099Y";"Lycée Henri Nominé - Lycée des métiers des services aux entreprises";"GRAND EST";"dont élèves en voie pro sco";47;41;42;-1;48
"0570099Y";"Lycée Henri Nominé - Lycée des métiers des services aux entreprises";"GRAND EST";"dont apprentis";42;54;61;-6;58
"0570100Z";"Lycée professionnel Simon Lazard";"GRAND EST";"ensemble";50;35;39;-3;44
"0570108H";"Lycée polyvalent La Briquerie - Lycée des métiers des sciences et des techniques";"GRAND EST";"ensemble";40;39;45;-6;44
"0570108H";"Lycée polyvalent La Briquerie - Lycée des métiers des sciences et des techniques";"GRAND EST";"dont élèves en voie pro sco";44;32;38;-6;35
"0570108H";"Lycée polyvalent La Briquerie - Lycée des métiers des sciences et des techniques";"GRAND EST";"dont apprentis";25;60;65;-6;70
"0570124A";"Lycée professionnel René Cassin";"GRAND EST";"ensemble";49;20;31;-11;28
"0570144X";"Lycée professionnel Métiers du Bâtiment et Travaux publics";"GRAND EST";"ensemble";43;37;34;3;38
"0570146Z";"Lycée général et technologique Julie Daubié";"GRAND EST";"ensemble";45;23;35;-12;38
"0570210U";"Lycée technologique privé Notre Dame";"GRAND EST";"ensemble";27;48;49;-1;52
"0570225K";"Lycée professionnel privé Interentreprises";"GRAND EST";"ensemble";50;29;34;-5;49
"0570241C";"Lycée professionnel privé Saint Vincent de Paul";"GRAND EST";"ensemble";53;45;35;9;52
"0570248K";"Lycée professionnel privé Antoine Gapp";"GRAND EST";"ensemble";55;34;33;1;39
"0570264C";"Lycée professionnel privé Saint Joseph-La Providence";"GRAND EST";"ensemble";;;;;
"0570268G";"Lycée professionnel privé Sainte Chrétienne";"GRAND EST";"ensemble";62;24;28;-5;32
"0570279U";"Lycée professionnel privé La Providence";"GRAND EST";"ensemble";52;34;37;-3;49
"0570283Y";"Lycée professionnel privée St Etienne";"GRAND EST";"ensemble";60;28;31;-3;40
"0570294K";"Lycée professionnel privé Sainte Marie";"GRAND EST";"ensemble";44;33;34;-1;48
"0570311D";"Lycée général et technologique privé de La Salle";"GRAND EST";"ensemble";34;46;54;-8;54
"0570313F";"Lycée général et technologique privé Notre Dame de La Providence";"GRAND EST";"ensemble";31;42;51;-9;29
"0572022N";"Lycée Polyvalent Régional Felix Mayer";"GRAND EST";"ensemble";38;41;40;1;49
"0572027U";"Lycée polyvalent Rosa Parks";"GRAND EST";"ensemble";39;35;42;-7;40
"0572028V";"SEP Sophie Germain du LPO Colbert";"GRAND EST";"ensemble";67;24;33;-9;25
"0572075W";"Lycée professionnel Jean Macé";"GRAND EST";"ensemble";59;24;28;-4;29
"0572101Z";"Lycée professionnel privé Saint André - Lycée des métiers de l'optique";"GRAND EST";"ensemble";47;44;43;1;47
"0572590F";"Lycée polyvalent Gustave Eiffel - Lycée des métiers";"GRAND EST";"ensemble";41;47;48;0;54
"0572590F";"Lycée polyvalent Gustave Eiffel - Lycée des métiers";"GRAND EST";"dont élèves en voie pro sco";41;48;48;0;54
"0572590F";"Lycée polyvalent Gustave Eiffel - Lycée des métiers";"GRAND EST";"dont apprentis";;;;;
"0572757M";"Lycée général et technologique Georges de La Tour";"GRAND EST";"ensemble";63;56;45;11;56
"0572951Y";"Lycée professionnel privé Notre Dame de La Providence";"GRAND EST";"ensemble";83;;;;
"0572953A";"Lycée professionnel privé Saint-joseph-la Providence";"GRAND EST";"ensemble";68;;;;
"0573080N";"Lycée professionnel Hurlevent";"GRAND EST";"ensemble";43;35;34;1;41
"0573211F";"Lycée André Citroen - Lycée des métiers de l'automobile";"GRAND EST";"ensemble";42;41;48;-7;51
"0573211F";"Lycée André Citroen - Lycée des métiers de l'automobile";"GRAND EST";"dont élèves en voie pro sco";40;26;37;-11;39
"0573211F";"Lycée André Citroen - Lycée des métiers de l'automobile";"GRAND EST";"dont apprentis";45;59;62;-3;66
"0573227Y";"Lycée polyvalent Louis de Cormontaigne";"GRAND EST";"ensemble";57;38;36;2;50
"0573231C";"Lycée Condorcet - Lycée des métiers des sciences et des technologies de l' information et de la communication";"GRAND EST";"ensemble";51;41;39;2;37
"0573281G";"Lycée général et technologique de la Communication";"GRAND EST";"ensemble";51;46;43;3;47
"0573320Z";"Lycée polyvalent Raymond Mondon - Lycée des métiers de l'hôtellerie-restauration";"GRAND EST";"ensemble";35;57;47;10;64
"0573320Z";"Lycée polyvalent Raymond Mondon - Lycée des métiers de l'hôtellerie-restauration";"GRAND EST";"dont élèves en voie pro sco";42;53;45;8;61
"0573320Z";"Lycée polyvalent Raymond Mondon - Lycée des métiers de l'hôtellerie-restauration";"GRAND EST";"dont apprentis";27;60;49;12;66
"0573326F";"Lycée Polyvalent Louis Casimir Teyssier";"GRAND EST";"ensemble";54;27;33;-6;42
"0573491K";"Lycée polyvalent Ernest Cuvelette";"GRAND EST";"ensemble";40;29;29;0;33
"0573519R";"Lycée technologique privé Saint André";"GRAND EST";"ensemble";51;69;57;12;73
"0573770N";"Ensemble scolaire St Etienne";"GRAND EST";"ensemble";12;65;59;6;68
"0580008U";"Lycée polyvalent Romain Rolland";"BOURGOGNE-FRANCHE-COMTE";"ensemble";44;;;;
"0580014A";"Lycée polyvalent Pierre Gilles de Gennes - Lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"ensemble";47;25;35;-11;36
"0580014A";"Lycée polyvalent Pierre Gilles de Gennes - Lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";47;24;35;-11;36
"0580014A";"Lycée polyvalent Pierre Gilles de Gennes - Lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";;;;;
"0580020G";"Lycée professionnel Pierre Bérégovoy";"BOURGOGNE-FRANCHE-COMTE";"ensemble";51;36;39;-3;45
"0580031U";"Lycée général et technologique Jules Renard";"BOURGOGNE-FRANCHE-COMTE";"ensemble";46;42;50;-8;56
"0580032V";"Lycée général et technologique Raoul Follereau";"BOURGOGNE-FRANCHE-COMTE";"ensemble";30;54;54;0;60
"0580032V";"Lycée général et technologique Raoul Follereau";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";32;51;52;-1;57
"0580032V";"Lycée général et technologique Raoul Follereau";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";21;;;;
"0580042F";"Lycée professionnel Le Mont-Chatelet";"BOURGOGNE-FRANCHE-COMTE";"ensemble";71;;;;
"0580050P";"Lycée professionnel Jean Rostand";"BOURGOGNE-FRANCHE-COMTE";"ensemble";49;28;28;0;39
"0580071M";"Lycée polyvalent privé Notre Dame";"BOURGOGNE-FRANCHE-COMTE";"ensemble";43;40;44;-4;48
"0580075S";"Lycée professionnel privé Thérèse Desreumaux";"BOURGOGNE-FRANCHE-COMTE";"ensemble";43;25;34;-9;32
"0580076T";"Lycée technologique et professionnel privé Simone Dounon";"BOURGOGNE-FRANCHE-COMTE";"ensemble";36;35;29;7;41
"0580552K";"Lycée professionnel François Mitterrand - Lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"ensemble";43;35;38;-3;43
"0580552K";"Lycée professionnel François Mitterrand - Lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"dont élèves en voie pro sco";45;36;39;-3;45
"0580552K";"Lycée professionnel François Mitterrand - Lycée des métiers";"BOURGOGNE-FRANCHE-COMTE";"dont apprentis";17;;;;
"0580753D";"Lycée général et technologique Alain Colas";"BOURGOGNE-FRANCHE-COMTE";"ensemble";75;;;;
"0580761M";"Lycée polyvalent Maurice Genevoix";"BOURGOGNE-FRANCHE-COMTE";"ensemble";38;20;32;-12;24
"0590005K";"Lycée professionnel Pierre-Joseph Fontaine";"HAUTS-DE-FRANCE";"ensemble";51;16;22;-7;27
"0590010R";"Lycée général et technologique Paul Hazard";"HAUTS-DE-FRANCE";"ensemble";25;63;54;9;65
"0590011S";"Lycée polyvalent Gustave Eiffel - Lycée des métiers";"HAUTS-DE-FRANCE";"ensemble";55;45;45;0;49
"0590011S";"Lycée polyvalent Gustave Eiffel - Lycée des métiers";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";54;44;44;0;48
"0590011S";"Lycée polyvalent Gustave Eiffel - Lycée des métiers";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0590015W";"Lycée professionnel Pierre et Marie Curie";"HAUTS-DE-FRANCE";"ensemble";46;32;28;4;44
"0590015W";"Lycée professionnel Pierre et Marie Curie";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";47;25;22;3;39
"0590015W";"Lycée professionnel Pierre et Marie Curie";"HAUTS-DE-FRANCE";"dont apprentis";36;80;70;10;84
"0590018Z";"Lycée polyvalent Jesse de Forest";"HAUTS-DE-FRANCE";"ensemble";37;40;33;8;51
"0590034S";"Lycée général et technologique Paul Duez";"HAUTS-DE-FRANCE";"ensemble";28;46;51;-5;54
"0590035T";"Lycée général et technologique Fénelon";"HAUTS-DE-FRANCE";"ensemble";44;52;47;5;48
"0590037V";"Lycée professionnel Louise de Bettignies";"HAUTS-DE-FRANCE";"ensemble";51;20;22;-2;31
"0590042A";"Lycée polyvalent Camille Desmoulins";"HAUTS-DE-FRANCE";"ensemble";47;22;29;-8;29
"0590044C";"Lycée polyvalent Joseph-Marie Jacquard";"HAUTS-DE-FRANCE";"ensemble";56;22;25;-3;28
"0590060V";"Lycée général et technologique Alfred Kastler";"HAUTS-DE-FRANCE";"ensemble";33;45;48;-2;45
"0590064Z";"Lycée général et technologique Jean-Baptiste Corot";"HAUTS-DE-FRANCE";"ensemble";38;50;51;-1;50
"0590065A";"Lycée Général et Technologique Edmond Labbé";"HAUTS-DE-FRANCE";"ensemble";41;50;46;4;55
"0590071G";"Lycée général et technologique Jean Bart";"HAUTS-DE-FRANCE";"ensemble";29;48;47;1;51
"0590072H";"Lycée général et technologique de l'Europe";"HAUTS-DE-FRANCE";"ensemble";36;51;53;-3;53
"0590072H";"Lycée général et technologique de l'Europe";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";40;41;46;-4;45
"0590072H";"Lycée général et technologique de l'Europe";"HAUTS-DE-FRANCE";"dont apprentis";27;72;71;1;72
"0590073J";"Lycée général et technologique Auguste Angellier";"HAUTS-DE-FRANCE";"ensemble";31;55;51;3;62
"0590083V";"Lycée polyvalent Camille Claudel";"HAUTS-DE-FRANCE";"ensemble";42;25;33;-8;39
"0590083V";"Lycée polyvalent Camille Claudel";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";44;23;30;-7;37
"0590083V";"Lycée polyvalent Camille Claudel";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0590093F";"Lycée polyvalent Beaupré - Lycée des Métiers de la Plasturgie";"HAUTS-DE-FRANCE";"ensemble";54;41;39;3;49
"0590098L";"Lycée professionnel Placide Courtoy";"HAUTS-DE-FRANCE";"ensemble";39;36;34;1;39
"0590098L";"Lycée professionnel Placide Courtoy";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";46;22;21;1;27
"0590098L";"Lycée professionnel Placide Courtoy";"HAUTS-DE-FRANCE";"dont apprentis";14;64;63;1;64
"0590101P";"Lycée général et technologique des Flandres";"HAUTS-DE-FRANCE";"ensemble";40;52;50;2;67
"0590102R";"Lycée Professionnel des Monts de Flandre";"HAUTS-DE-FRANCE";"ensemble";54;46;44;2;51
"0590102R";"Lycée Professionnel des Monts de Flandre";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";61;30;31;-1;37
"0590102R";"Lycée Professionnel des Monts de Flandre";"HAUTS-DE-FRANCE";"dont apprentis";25;82;74;8;84
"0590110Z";"Lycée général et technologique Jean Perrin";"HAUTS-DE-FRANCE";"ensemble";35;70;58;12;61
"0590111A";"Lycée professionnel Sonia Delaunay";"HAUTS-DE-FRANCE";"ensemble";57;21;25;-4;25
"0590112B";"Lycée général et technologique Dupleix";"HAUTS-DE-FRANCE";"ensemble";25;48;47;1;50
"0590117G";"Lycée général et technologique Louis Pasteur";"HAUTS-DE-FRANCE";"ensemble";31;;;;
"0590117G";"Lycée général et technologique Louis Pasteur";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";33;;;;
"0590117G";"Lycée général et technologique Louis Pasteur";"HAUTS-DE-FRANCE";"dont apprentis";24;;;;
"0590121L";"Lycée général et technologique César Baggio";"HAUTS-DE-FRANCE";"ensemble";36;49;46;3;53
"0590122M";"Lycée polyvalent Valentine Labbé";"HAUTS-DE-FRANCE";"ensemble";42;39;38;1;46
"0590122M";"Lycée polyvalent Valentine Labbé";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";51;36;39;-3;45
"0590122M";"Lycée polyvalent Valentine Labbé";"HAUTS-DE-FRANCE";"dont apprentis";10;44;36;7;49
"0590125R";"Lycée Hôtelier International de Lille";"HAUTS-DE-FRANCE";"ensemble";43;50;42;8;55
"0590125R";"Lycée Hôtelier International de Lille";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";43;48;38;10;50
"0590125R";"Lycée Hôtelier International de Lille";"HAUTS-DE-FRANCE";"dont apprentis";43;52;50;3;63
"0590133Z";"Lycée professionnel Maurice Duhamel";"HAUTS-DE-FRANCE";"ensemble";45;37;30;6;43
"0590144L";"Lycée professionnel Automobile Alfred Mongy - Lycée des Métiers de la maintenance des véhicules";"HAUTS-DE-FRANCE";"ensemble";27;58;54;4;67
"0590144L";"Lycée professionnel Automobile Alfred Mongy - Lycée des Métiers de la maintenance des véhicules";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";34;47;43;4;63
"0590144L";"Lycée professionnel Automobile Alfred Mongy - Lycée des Métiers de la maintenance des véhicules";"HAUTS-DE-FRANCE";"dont apprentis";15;72;69;4;71
"0590149S";"Lycée polyvalent Pierre Forest";"HAUTS-DE-FRANCE";"ensemble";51;45;45;0;48
"0590149S";"Lycée polyvalent Pierre Forest";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";56;38;37;0;39
"0590149S";"Lycée polyvalent Pierre Forest";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0590168M";"Lycée polyvalent Eugène Thomas";"HAUTS-DE-FRANCE";"ensemble";48;9;19;-10;20
"0590184E";"Lycée général Jean Rostand";"HAUTS-DE-FRANCE";"ensemble";35;;;;
"0590184E";"Lycée général Jean Rostand";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";41;;;;
"0590184E";"Lycée général Jean Rostand";"HAUTS-DE-FRANCE";"dont apprentis";18;;;;
"0590185F";"LPO Jean Moulin - Lycée des métiers de la sécurité et de la prévention - Lycée des métiers des services administratifs et de la relation aux clients";"HAUTS-DE-FRANCE";"ensemble";37;47;45;2;45
"0590185F";"LPO Jean Moulin - Lycée des métiers de la sécurité et de la prévention - Lycée des métiers des services administratifs et de la relation aux clients";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";40;43;44;0;41
"0590185F";"LPO Jean Moulin - Lycée des métiers de la sécurité et de la prévention - Lycée des métiers des services administratifs et de la relation aux clients";"HAUTS-DE-FRANCE";"dont apprentis";12;65;53;12;67
"0590186G";"Lycée professionnel Turgot - Lycée des Métiers des Services Administratifs et de la Relation Client";"HAUTS-DE-FRANCE";"ensemble";59;23;26;-3;29
"0590187H";"Lycée professionnel Louis Loucheur";"HAUTS-DE-FRANCE";"ensemble";47;38;27;11;39
"0590189K";"Lycée professionnel Lavoisier";"HAUTS-DE-FRANCE";"ensemble";55;25;27;-2;36
"0590192N";"Lycée polyvalent Ernest Couteaux";"HAUTS-DE-FRANCE";"ensemble";56;25;27;-2;32
"0590198V";"Lycée professionnel Georges Guynemer";"HAUTS-DE-FRANCE";"ensemble";52;31;34;-3;48
"0590198V";"Lycée professionnel Georges Guynemer";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";55;23;27;-3;41
"0590198V";"Lycée professionnel Georges Guynemer";"HAUTS-DE-FRANCE";"dont apprentis";32;69;69;0;81
"0590207E";"Lycée général et technologique Louis Pasteur";"HAUTS-DE-FRANCE";"ensemble";40;56;51;5;63
"0590214M";"Lycée polyvalent Colbert - Lycée des métiers du numérique et des technologies innovantes";"HAUTS-DE-FRANCE";"ensemble";53;41;45;-5;47
"0590214M";"Lycée polyvalent Colbert - Lycée des métiers du numérique et des technologies innovantes";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";54;38;43;-6;46
"0590214M";"Lycée polyvalent Colbert - Lycée des métiers du numérique et des technologies innovantes";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0590215N";"Lycée général et technologique Sévigné";"HAUTS-DE-FRANCE";"ensemble";50;44;45;-1;46
"0590216P";"Lycée professionnel Le Corbusier";"HAUTS-DE-FRANCE";"ensemble";54;21;25;-4;29
"0590217R";"Lycée professionnel Sévigné - Lycée des Métiers";"HAUTS-DE-FRANCE";"ensemble";60;25;25;0;36
"0590221V";"Lycée général et technologique Henri Wallon";"HAUTS-DE-FRANCE";"ensemble";37;49;47;2;58
"0590221V";"Lycée général et technologique Henri Wallon";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";41;49;46;3;57
"0590221V";"Lycée général et technologique Henri Wallon";"HAUTS-DE-FRANCE";"dont apprentis";4;50;53;-3;62
"0590222W";"Lycée général et technologique Watteau";"HAUTS-DE-FRANCE";"ensemble";59;;;;
"0590223X";"Lycée général et technologique du Hainaut";"HAUTS-DE-FRANCE";"ensemble";38;50;49;1;56
"0590233H";"Lycée polyvalent Emile Zola";"HAUTS-DE-FRANCE";"ensemble";50;35;40;-6;35
"0590249A";"Lycée professionnel Jacques-Yves Cousteau";"HAUTS-DE-FRANCE";"ensemble";50;25;26;-1;31
"0590252D";"Lycée professionnel Louis-Léopold Boilly";"HAUTS-DE-FRANCE";"ensemble";54;30;30;0;39
"0590252D";"Lycée professionnel Louis-Léopold Boilly";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";54;30;28;2;40
"0590252D";"Lycée professionnel Louis-Léopold Boilly";"HAUTS-DE-FRANCE";"dont apprentis";52;;;;
"0590255G";"Lycée professionnel Guy Debeyre";"HAUTS-DE-FRANCE";"ensemble";60;28;36;-8;43
"0590255G";"Lycée professionnel Guy Debeyre";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";60;26;35;-9;41
"0590255G";"Lycée professionnel Guy Debeyre";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0590257J";"Lycée professionnel Ile de Flandre";"HAUTS-DE-FRANCE";"ensemble";51;25;30;-6;34
"0590257J";"Lycée professionnel Ile de Flandre";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";55;19;29;-10;32
"0590257J";"Lycée professionnel Ile de Flandre";"HAUTS-DE-FRANCE";"dont apprentis";11;54;42;12;46
"0590258K";"Lycée général et technologique Gaston Berger";"HAUTS-DE-FRANCE";"ensemble";31;56;55;2;62
"0590258K";"Lycée général et technologique Gaston Berger";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";34;52;51;0;59
"0590258K";"Lycée général et technologique Gaston Berger";"HAUTS-DE-FRANCE";"dont apprentis";21;69;65;5;70
"0590263R";"Lycée professionnel Fernand Léger";"HAUTS-DE-FRANCE";"ensemble";59;28;28;0;29
"0590264S";"Lycée professionnel Alfred Kastler";"HAUTS-DE-FRANCE";"ensemble";62;29;24;5;35
"0590265T";"Lycée Professionnel Edmond Labbé";"HAUTS-DE-FRANCE";"ensemble";33;61;56;5;67
"0590265T";"Lycée Professionnel Edmond Labbé";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";52;35;29;6;43
"0590265T";"Lycée Professionnel Edmond Labbé";"HAUTS-DE-FRANCE";"dont apprentis";12;76;73;4;81
"0590266U";"Lycée professionnel César Baggio";"HAUTS-DE-FRANCE";"ensemble";53;56;54;3;59
"0590266U";"Lycée professionnel César Baggio";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";68;33;32;1;38
"0590266U";"Lycée professionnel César Baggio";"HAUTS-DE-FRANCE";"dont apprentis";13;79;74;4;80
"0590270Y";"Lycée professionnel du Hainaut - Lycée des Métiers de l'Automobile - Lycée des Métiers de la Chaudronnerie";"HAUTS-DE-FRANCE";"ensemble";52;37;35;2;46
"0590270Y";"Lycée professionnel du Hainaut - Lycée des Métiers de l'Automobile - Lycée des Métiers de la Chaudronnerie";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";56;28;26;2;39
"0590270Y";"Lycée professionnel du Hainaut - Lycée des Métiers de l'Automobile - Lycée des Métiers de la Chaudronnerie";"HAUTS-DE-FRANCE";"dont apprentis";28;64;62;2;68
"0590282L";"Lycée général et technologique Jules Mousseron";"HAUTS-DE-FRANCE";"ensemble";36;49;43;6;55
"0592610S";"Lycée Professionnel Pierre-Joseph Laurent";"HAUTS-DE-FRANCE";"ensemble";42;29;25;4;34
"0592611T";"Lycée professionnel Louis Blériot";"HAUTS-DE-FRANCE";"ensemble";44;24;30;-6;34
"0592712C";"Lycée professionnel Louis Armand";"HAUTS-DE-FRANCE";"ensemble";48;26;21;5;26
"0592832H";"Lycée professionnel Vertes Feuilles - Lycée des métiers de la sécurité et de la prévention";"HAUTS-DE-FRANCE";"ensemble";51;35;29;6;41
"0592832H";"Lycée professionnel Vertes Feuilles - Lycée des métiers de la sécurité et de la prévention";"HAUTS-DE-FRANCE";"dont élèves en voie pro sco";54;35;24;11;40
"0592832H";"Lycée professionnel Vertes Feuilles - Lycée des métiers de la sécurité et de la prévention";"HAUTS-DE-FRANCE";"dont apprentis";;;;;
"0592833J";"Lycée professionnel Les Hauts de Flandre";"HAUTS-DE-FRANCE";"ensemble";47;25;29;-4;36
"0592850C";"Lycée professionnel Antoine de Saint-Exupéry";"HAUTS-DE-FRANCE";"ensemble";38;46;37;9;50
"0592916Z";"Lycée général et technologique privé Notre Dame de Grâce";"HAUTS-DE-FRANCE";"ensemble";30;45;46;-1;39
"0592921E";"Lycée général et technologique privé Saint Rémi";"HAUTS-DE-FRANCE";"ensemble";31;55;46;9;55
"0592926K";"Lycée général et technologique privé Saint Jude";"HAUTS-DE-FRANCE";"ensemble";31;55;54;2;67
"0592928M";"Lycée Polyvalent privé Sainte Jeanne d'Arc - Lycée des Métiers de l'Hôtellerie Restauration - Lycée des Métiers de l'Esthétique et de la Coiffure";"HAUTS-DE-FRANCE";"ensemble";38;49;43;6;56
"0592963A";"Lycée polyvalent privé Saint Martin";"HAUTS-DE-FRANCE";"ensemble";43;24;31;-7;33
"0592964B";"Lycée professionnel privé Léonard de Vinci";"HAUTS-DE-FRANCE";"ensemble";67;41;35;7;41
"0592965C";"Lycée Polyvalent privé EIC Industriel et Commercial";"HAUTS-DE-FRANCE";"ensemble";48;53;45;8;56
